InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Mike McGeary,11,2481,484,684,56,13,0,236,66,.276,.309,0,766,0,1882,mcgeami01
FALSE,FALSE,Rennie Stennett,11,4521,500,1239,177,41,41,432,75,.274,.359,0,1621,0,1981,stennre01
FALSE,FALSE,John Gochnaur,3,908,94,170,32,8,0,87,18,.187,.240,0,218,0,1903,gochnjo01
FALSE,FALSE,Ron Karkovice,12,2597,336,574,120,6,96,335,24,.221,.383,0,994,0,1997,karkoro01
FALSE,FALSE,Don Hurst,7,3275,510,976,190,28,115,610,41,.298,.478,0,1567,0,1934,hurstdo01
FALSE,FALSE,Scott Leius,9,1536,214,375,63,10,28,172,16,.244,.353,0,542,0,1999,leiussc01
FALSE,FALSE,Dario Lodigiani,6,1364,142,355,71,7,16,156,12,.260,.358,0,488,0,1946,lodigda01
FALSE,FALSE,Lastings Milledge,6,1500,166,404,73,8,33,167,40,.269,.395,0,592,0,2011,millela02
FALSE,FALSE,Elio Chacon,3,616,89,143,15,5,4,39,20,.232,.292,0,180,0,1962,chacoel01
FALSE,FALSE,Randall Simon,8,1609,172,455,71,3,49,237,2,.283,.422,0,679,0,2006,simonra01
FALSE,FALSE,Rick Wilkins,11,2114,280,515,95,7,81,275,9,.244,.410,0,867,0,2001,wilkiri01
FALSE,FALSE,Bob Scheffing,8,1357,105,357,53,9,20,187,6,.263,.360,0,488,0,1951,schefbo01
FALSE,FALSE,Lou Frazier,5,548,82,138,16,3,1,46,58,.252,.297,0,163,0,1998,frazilo01
FALSE,FALSE,Jim Lyttle,8,710,71,176,37,5,9,70,4,.248,.352,0,250,0,1976,lyttlji01
FALSE,FALSE,Frank Bolling,12,5562,692,1415,221,40,106,556,40,.254,.366,2,2034,2,1966,bollifr01
FALSE,FALSE,Brent Brede,3,422,50,106,20,5,5,40,8,.251,.358,0,151,0,1998,bredebr01
FALSE,FALSE,Sean Berry,11,2413,310,657,153,10,81,369,47,.272,.445,0,1073,0,2000,berryse01
FALSE,FALSE,Frank Demaree,12,4144,578,1241,190,36,72,591,33,.299,.415,2,1719,1,1944,demarfr02
FALSE,FALSE,Ernie Padgett,5,838,84,223,34,17,1,81,8,.266,.351,0,294,0,1927,padgeer01
FALSE,FALSE,John Corkhill,10,4404,650,1120,110,80,31,631,137,.254,.337,0,1483,0,1892,corkhpo01
FALSE,FALSE,Sam Crane,7,1359,183,276,30,18,3,45,26,.203,.258,0,351,0,1890,cranesa01
FALSE,FALSE,Woodie Held,14,4019,524,963,150,22,179,559,14,.240,.421,0,1694,0,1969,heldwo01
FALSE,FALSE,Greg Colbrunn,13,2769,337,801,155,12,98,422,29,.289,.460,0,1274,0,2004,colbrgr01
FALSE,FALSE,Tom Foley,13,2708,248,661,134,20,32,263,32,.244,.344,0,931,0,1995,foleyto02
FALSE,FALSE,Travis Buck,6,810,99,197,52,7,20,95,8,.243,.399,0,323,0,2012,bucktr01
FALSE,FALSE,George Puccinelli,4,607,109,172,40,3,19,102,3,.283,.453,0,275,0,1936,puccige01
FALSE,FALSE,Nick Green,8,1078,147,254,58,5,17,103,6,.236,.346,0,373,0,2013,greenni01
FALSE,FALSE,Gene Green,7,1151,130,307,49,7,46,160,2,.267,.441,0,508,0,1963,greenge01
FALSE,FALSE,Pumpsie Green,5,796,119,196,31,12,13,74,12,.246,.364,0,290,0,1963,greenpu01
FALSE,FALSE,Johnny Hudson,7,1169,138,283,50,11,4,96,17,.242,.314,0,367,0,1945,hudsojo01
FALSE,FALSE,Bobby Hofman,7,670,81,166,22,6,32,101,1,.248,.442,0,296,0,1957,hofmabo01
FALSE,FALSE,Wally Gilbert,5,2317,301,624,112,17,7,214,21,.269,.341,0,791,0,1932,gilbewa01
FALSE,FALSE,Lenny Webster,12,1450,157,368,73,2,33,176,1,.254,.375,0,544,0,2000,webstle01
FALSE,FALSE,Pat Putnam,8,1989,223,508,95,8,63,255,10,.255,.406,0,808,0,1984,putnapa01
FALSE,FALSE,Eliezer Alfonzo,6,591,44,142,24,3,17,67,1,.240,.377,0,223,0,2011,alfonel01
FALSE,FALSE,Ed McDonald,3,634,98,155,30,9,3,55,33,.244,.334,0,212,0,1913,mcdoned02
FALSE,FALSE,Travis Snider,8,1783,214,435,100,7,54,212,22,.244,.399,0,711,0,2015,snidetr01
FALSE,FALSE,Swede Risberg,4,1619,196,394,72,27,6,175,52,.243,.332,0,538,0,1920,risbesw01
FALSE,FALSE,Jorge Cantu,8,3128,367,847,203,5,104,476,11,.271,.439,0,1372,0,2011,cantujo01
FALSE,FALSE,Doc Powers,11,2088,183,450,72,13,4,199,27,.216,.268,0,560,0,1909,powerdo01
FALSE,FALSE,Cal Neeman,7,1002,93,224,35,4,30,97,1,.224,.356,0,357,0,1963,neemaca01
FALSE,FALSE,Buck Jordan,10,2980,396,890,153,35,17,281,20,.299,.391,0,1164,0,1938,jordabu01
FALSE,FALSE,Mark Quinn,4,1089,153,307,72,5,45,167,17,.282,.481,0,524,0,2002,quinnma01
