InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Jack Owens,1,8,0,2,0,0,0,1,0,0.25,0.25,0,0,0,0,0,2,1935,1887
FALSE,FALSE,Joe Malay,2,25,0,4,0,0,0,2,0,0.16,0.16,0,0,0,0,0,4,1935,1893
FALSE,FALSE,Vince Sherlock,1,26,4,12,1,0,0,6,1,0.46153846153846151,0.5,0,0,0,0,0,14,1935,1896
FALSE,FALSE,Gordon Slade,6,1372,147,353,60,11,8,123,12,0.2572886297376093,0.33454810495626824,0,0,0,0,0,538,1935,1899
FALSE,FALSE,Johnnie Tyler,2,53,7,17,2,1,2,12,0,0.32075471698113206,0.50943396226415094,0,0,0,0,0,32,1935,1902
FALSE,FALSE,Charlie Wilson,4,186,15,40,7,3,2,14,0,0.21505376344086022,0.31720430107526881,0,0,0,0,0,71,1935,1905
FALSE,FALSE,Alex Hooks,1,44,4,10,3,0,0,4,0,0.22727272727272727,0.29545454545454547,0,0,0,0,0,16,1935,1908
FALSE,FALSE,Bubber Jonnard,6,235,26,54,7,1,0,20,0,0.22978723404255319,0.26808510638297872,0,0,0,0,0,71,1935,1911
FALSE,FALSE,Skinny Graham,2,57,8,14,2,1,0,4,3,0.24561403508771931,0.31578947368421051,0,0,0,0,0,21,1935,1914
FALSE,FALSE,Aubrey Epps,1,4,1,3,0,1,0,3,0,0.75,1.25,0,0,0,0,0,6,1935,1917
FALSE,FALSE,Buzz Boyle,5,1343,185,389,58,24,12,125,24,0.28965003723008187,0.39538346984363365,0,0,0,0,0,625,1935,1920
FALSE,FALSE,Hughie Critz,12,5930,832,1591,195,95,38,531,97,0.26829679595278244,0.35244519392917373,0,0,0,0,0,2418,1935,1923
FALSE,FALSE,Kit Carson,2,40,5,10,4,1,0,2,0,0.25,0.40000000000000002,0,0,0,0,0,21,1935,1926
FALSE,TRUE,Glenn Wright,11,4153,584,1219,203,76,94,723,38,0.2935227546352035,0.44690585119190945,0,0,0,0,0,2229,1935,1929
FALSE,FALSE,Samuel Byrd,8,1700,304,465,101,10,38,220,17,0.27352941176470591,0.41176470588235292,0,0,0,0,0,849,1936,1932
FALSE,FALSE,Walt Bashore,1,10,1,2,0,0,0,0,0,0.20000000000000001,0.20000000000000001,0,0,0,0,0,2,1936,1935
FALSE,FALSE,Chick Fullis,8,1855,305,548,92,14,12,167,46,0.2954177897574124,0.37951482479784365,0,0,0,0,0,822,1936,1938
FALSE,FALSE,Art Garibaldi,1,232,30,64,12,0,1,20,3,0.27586206896551724,0.34051724137931033,0,0,0,0,0,92,1936,1941
FALSE,FALSE,Joe Holden,3,24,1,2,0,0,0,0,1,8.3333333333333343E-2,8.3333333333333343E-2,0,0,0,0,0,2,1936,1944
FALSE,FALSE,Johnny Vergez,6,2323,258,593,114,16,52,292,22,0.25527335342229873,0.38527765820060267,0,0,0,0,0,1077,1936,1947
FALSE,FALSE,George Stumpf,4,260,31,61,7,3,1,32,5,0.23461538461538461,0.29615384615384616,0,0,0,0,0,88,1936,1950
FALSE,FALSE,Chick Starr,2,24,1,5,0,0,0,1,0,0.20833333333333331,0.20833333333333331,0,0,0,0,0,5,1936,1953
FALSE,FALSE,Chuck Sheerin,1,72,4,19,4,0,0,4,0,0.2638888888888889,0.31944444444444448,0,0,0,0,0,27,1936,1956
FALSE,FALSE,Lou Scoffic,1,7,2,3,0,0,0,2,0,0.42857142857142855,0.42857142857142855,0,0,0,0,0,3,1936,1959
FALSE,FALSE,Swede Larsen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936,1962
FALSE,FALSE,Andy Pilney,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936,1965
FALSE,FALSE,Salty Parker,1,25,6,7,2,0,0,4,0,0.28000000000000003,0.35999999999999999,0,0,0,0,0,11,1936,1968
FALSE,FALSE,Jim Oglesby,1,11,0,2,0,0,0,2,0,0.18181818181818182,0.18181818181818182,0,0,0,0,0,2,1936,1971
FALSE,FALSE,Jo-Jo Morrissey,3,841,61,195,31,1,0,45,7,0.2318668252080856,0.27110582639714625,0,0,0,0,0,260,1936,1974
FALSE,FALSE,Eddie Morgan,2,66,8,14,3,0,1,8,0,0.2121212121212121,0.30303030303030304,0,0,0,0,0,24,1937,1977
FALSE,FALSE,Arnie Moser,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,1980
FALSE,FALSE,John Mihalic,3,217,32,53,10,3,0,22,5,0.24423963133640555,0.31797235023041476,0,0,0,0,0,82,1937,1983
FALSE,FALSE,Beauty McGowan,5,1208,174,316,58,16,6,108,17,0.26158940397350994,0.35099337748344372,0,0,0,0,0,504,1937,1986
FALSE,FALSE,Ed Madjeski,4,481,58,116,19,2,5,56,2,0.24116424116424115,0.32016632016632018,0,0,0,0,0,180,1937,1989
FALSE,FALSE,Bob Smith,15,1689,154,409,64,17,5,166,16,0.24215512137359385,0.3090586145648313,0,0,0,0,0,608,1937,1992
