InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,B,B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Steve Balboni,11,3120,351,714,2,3,181,495,1,0.228846153846154,0.450641025641026,0,0,0,0,0,1725,1993,5603
FALSE,FALSE,Jim Byrd,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1993,5605
FALSE,FALSE,Francisco Cabrera,5,351,32,89,2,3,17,62,2,0.253561253561254,0.452991452991453,0,0,0,0,0,194,1993,5606
FALSE,FALSE,Rod Brewer,4,288,30,80,2,3,2,33,1,0.277777777777778,0.350694444444444,0,0,0,0,0,118,1993,5608
FALSE,FALSE,J. T. Bruett,2,96,9,24,2,3,0,3,6,0.25,0.3125,0,0,0,0,0,36,1993,5611
FALSE,FALSE,Lance Blankenship,6,1050,176,233,2,3,9,92,54,0.221904761904762,0.299047619047619,0,0,0,0,0,374,1993,5612
FALSE,FALSE,Henry Cotto,10,2178,296,569,2,3,44,210,130,0.261248852157943,0.370064279155188,0,0,0,0,0,946,1993,5614
FALSE,FALSE,Tim Costo,2,134,16,30,2,3,3,14,0,0.223880597014925,0.343283582089552,0,0,0,0,0,56,1993,5615
FALSE,FALSE,Ozzie Canseco,3,65,8,13,2,3,0,4,0,0.2,0.292307692307692,0,0,0,0,0,25,1993,5617
FALSE,FALSE,Paul Carey,1,47,1,10,2,3,0,3,0,0.212765957446809,0.234042553191489,0,0,0,0,0,12,1993,5618
FALSE,FALSE,Jack Daugherty,6,759,80,194,2,3,10,87,5,0.255599472990777,0.36231884057971,0,0,0,0,0,330,1993,5620
FALSE,FALSE,Glenn Davis,10,3719,510,965,2,3,190,603,28,0.259478354396343,0.467329927399839,2,0,0,0,0,2118,1993,5621
FALSE,FALSE,Cecil Espy,8,1248,160,304,2,3,7,108,103,0.243589743589744,0.320512820512821,0,0,0,0,0,466,1993,5623
FALSE,FALSE,Butch Davis,8,453,56,110,2,3,7,50,13,0.242825607064018,0.379690949227373,0,0,0,0,0,210,1994,5624
FALSE,FALSE,Matias Carrillo,3,191,17,48,2,3,0,12,3,0.25130890052356,0.319371727748691,0,0,0,0,0,74,1994,5626
FALSE,FALSE,Scott Coolbaugh,4,432,44,93,2,3,8,41,1,0.215277777777778,0.310185185185185,0,0,0,0,0,158,1994,5627
FALSE,FALSE,Sid Bream,12,3108,351,819,2,3,90,455,50,0.263513513513513,0.41956241956242,0,0,0,0,0,1597,1994,5629
FALSE,FALSE,Jim Bowie,1,14,0,3,2,3,0,0,0,0.214285714285714,0.214285714285714,0,0,0,0,0,3,1994,5630
FALSE,FALSE,Tom Brunansky,14,6289,804,1543,2,3,271,919,69,0.245349022102083,0.43377325488949,1,0,0,0,0,3338,1994,5632
FALSE,TRUE,Hubie Brooks,15,5974,656,1608,2,3,149,824,64,0.269166387679946,0.402912621359223,2,0,0,0,0,2877,1994,5633
FALSE,FALSE,Freddie Benavides,4,534,53,135,2,3,4,52,4,0.252808988764045,0.342696629213483,0,0,0,0,0,218,1994,5635
FALSE,FALSE,Erik Johnson,2,18,1,4,2,3,0,0,0,0.222222222222222,0.333333333333333,0,0,0,0,0,8,1994,5636
